# BUSCO version is: 5.4.3 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
448196at33208	Complete	OX336370.1	42996761	43008018	+	344.2	217
448514at33208	Complete	OX336374.1	45722343	45749300	+	309.5	270
449056at33208	Complete	OX336366.1	17567639	17576505	-	264.9	189
449139at33208	Complete	OX336368.1	61530035	61590486	-	477.1	315
449189at33208	Complete	OX336365.1	61371395	61400781	+	610.4	413
450643at33208	Complete	OX336374.1	57429774	57440528	+	149.1	177
450785at33208	Complete	OX336373.1	54986943	55001070	+	116.8	93
451242at33208	Complete	OX336376.1	33074734	33106030	-	282.3	213
451957at33208	Complete	OX336365.1	38089174	38175212	+	459.6	365
452208at33208	Complete	OX336369.1	36094825	36106483	-	233.5	193
452499at33208	Complete	OX336383.1	19865739	19880860	-	320.5	218
452574at33208	Complete	OX336371.1	57873393	57902679	-	447.8	397
453049at33208	Complete	OX336380.1	10689989	10748318	+	435.7	393
453052at33208	Complete	OX336371.1	11029882	11046965	-	367.6	271
453056at33208	Complete	OX336365.1	74551161	74582424	-	493.3	371
453687at33208	Complete	OX336373.1	43560360	43586930	-	358.4	282
454911at33208	Complete	OX336366.1	20140490	20196828	+	635.4	609
455512at33208	Complete	OX336366.1	64765190	64770654	+	202.0	163
455941at33208	Complete	OX336373.1	2427169	2448868	+	287.0	244
456998at33208	Complete	OX336366.1	48025643	48060639	+	168.8	182
457777at33208	Complete	OX336365.1	70596034	70626042	+	553.6	308
458807at33208	Complete	OX336367.1	64164088	64188865	+	383.1	289
458974at33208	Complete	OX336367.1	39103499	39136125	-	139.1	144
458988at33208	Complete	OX336373.1	32959930	32973181	+	678.3	462
459253at33208	Complete	OX336376.1	356246	373867	-	338.4	217
460044at33208	Complete	OX336373.1	58837312	58915096	-	396.6	298
460518at33208	Complete	OX336370.1	23415178	23440768	-	433.1	277
461123at33208	Complete	OX336372.1	15043824	15066262	-	137.5	189
461193at33208	Complete	OX336378.1	36223014	36232821	-	142.4	183
462325at33208	Complete	OX336368.1	59600513	59636556	+	359.8	294
462897at33208	Complete	OX336368.1	12021710	12045185	-	459.2	345
463071at33208	Complete	OX336375.1	14404634	14434553	+	241.7	270
464204at33208	Complete	OX336369.1	23622560	23641507	-	314.6	238
464243at33208	Complete	OX336376.1	50106062	50207127	+	93.8	109
464286at33208	Complete	OX336367.1	51163749	51186258	-	225.8	282
464312at33208	Complete	OX336368.1	71049265	71071680	+	290.8	303
464987at33208	Complete	OX336376.1	11574922	11589583	+	276.2	165
465092at33208	Complete	OX336366.1	68629568	68638653	-	366.6	221
465401at33208	Complete	OX336378.1	41099496	41100275	-	261.8	196
465512at33208	Complete	OX336376.1	40727199	40778990	-	945.5	833
465651at33208	Complete	OX336380.1	30661273	30662100	+	140.2	159
465703at33208	Complete	OX336382.1	14048179	14063621	+	203.4	169
465933at33208	Fragmented	OX336375.1	45372146	45381214	-	182.9	154
466616at33208	Fragmented	OX336378.1	18803550	18817072	+	197.2	144
466942at33208	Complete	OX336378.1	30257111	30264398	-	115.4	181
467106at33208	Complete	OX336381.1	17602014	17621677	-	309.8	223
467142at33208	Complete	OX336382.1	24559087	24578313	+	264.4	211
467744at33208	Complete	OX336371.1	36119817	36135690	+	345.9	259
468248at33208	Complete	OX336376.1	42821755	42839321	+	436.0	273
468359at33208	Complete	OX336375.1	40812928	40829693	+	336.0	302
468631at33208	Complete	OX336365.1	81502813	81514572	+	187.8	166
468710at33208	Complete	OX336371.1	15558500	15569039	+	149.3	153
468757at33208	Complete	OX336366.1	81053625	81059556	+	418.6	283
469367at33208	Complete	OX336372.1	37978286	37996911	+	340.5	289
470197at33208	Complete	OX336377.1	31490641	31516599	+	290.8	284
470523at33208	Complete	OX336374.1	42536035	42562792	-	241.5	195
471608at33208	Complete	OX336367.1	14681236	14704523	+	325.5	215
471787at33208	Complete	OX336370.1	58474676	58495671	-	412.0	304
472313at33208	Complete	OX336370.1	59100005	59113293	+	359.4	244
472352at33208	Complete	OX336365.1	39051333	39062723	-	227.1	219
473106at33208	Complete	OX336371.1	56058547	56080182	-	398.6	284
474144at33208	Complete	OX336376.1	27812621	27834661	+	210.4	181
474302at33208	Complete	OX336367.1	16254921	16273090	+	218.0	268
474387at33208	Complete	OX336367.1	66071101	66107747	-	421.0	294
475826at33208	Complete	OX336367.1	56062096	56077644	-	261.4	214
476036at33208	Complete	OX336366.1	56254624	56270987	+	323.0	239
477052at33208	Complete	OX336378.1	50213984	50214859	-	304.7	230
477939at33208	Complete	OX336371.1	45061796	45072617	-	285.7	284
477998at33208	Complete	OX336376.1	2582747	2607512	-	239.3	252
478073at33208	Complete	OX336379.1	43478521	43489065	+	402.4	225
478984at33208	Complete	OX336366.1	45417662	45426352	+	360.6	248
480700at33208	Complete	OX336366.1	24519650	24530489	+	193.8	156
480735at33208	Complete	OX336370.1	67437986	67460101	+	343.3	243
481557at33208	Fragmented	OX336366.1	42322708	42327595	+	52.3	85
482691at33208	Complete	OX336379.1	18972956	18995058	+	408.5	250
483489at33208	Complete	OX336372.1	23833	35103	+	354.0	284
485003at33208	Complete	OX336368.1	22430128	22441483	+	263.9	205
485696at33208	Complete	OX336372.1	57685000	57822401	-	252.0	220
486370at33208	Complete	OX336367.1	2247366	2276881	-	216.7	215
486431at33208	Complete	OX336368.1	39421938	39451721	-	326.9	454
486743at33208	Complete	OX336370.1	32929010	32937405	-	139.7	177
486993at33208	Complete	OX336375.1	38165896	38179040	-	291.4	247
487873at33208	Complete	OX336379.1	15949769	15959153	+	137.4	124
487987at33208	Complete	OX336371.1	54599601	54606026	+	154.2	130
488559at33208	Complete	OX336366.1	7592233	7615076	-	227.1	162
488635at33208	Complete	OX336366.1	57255214	57263114	+	198.5	181
489359at33208	Complete	OX336379.1	9991500	10007134	+	208.7	206
489858at33208	Complete	OX336366.1	80702276	80718881	-	155.1	138
489997at33208	Missing
490248at33208	Complete	OX336376.1	47629661	47644117	+	207.0	164
490961at33208	Fragmented	OX336365.1	18688729	18691300	-	81.4	83
491252at33208	Complete	OX336380.1	40707220	40734326	+	77.7	123
491289at33208	Complete	OX336367.1	56164683	56185857	-	315.6	254
492033at33208	Complete	OX336365.1	81470122	81493966	-	306.3	173
493148at33208	Complete	OX336367.1	31015408	31021466	-	137.5	171
493505at33208	Complete	OX336375.1	10852997	10865415	-	321.6	188
493913at33208	Complete	OX336375.1	30376759	30397444	-	393.0	381
494057at33208	Complete	OX336375.1	20609139	20619452	+	175.6	158
495100at33208	Complete	OX336373.1	39915784	39949109	-	398.1	217
495175at33208	Complete	OX336374.1	28001967	28023578	+	228.3	181
495207at33208	Complete	OX336374.1	15845601	15855495	-	256.4	216
495311at33208	Complete	OX336367.1	27074517	27082784	-	264.2	163
495329at33208	Complete	OX336365.1	8293798	8294424	+	207.1	178
495389at33208	Complete	OX336380.1	12739683	12760949	+	151.0	156
495605at33208	Complete	OX336367.1	56718161	56732079	-	390.9	224
495802at33208	Complete	OX336378.1	18262083	18270464	+	92.9	67
495926at33208	Complete	OX336382.1	882510	895093	-	167.7	164
496070at33208	Fragmented	OX336374.1	4508515	4516261	-	91.1	77
496219at33208	Complete	OX336371.1	16830621	16844686	+	371.9	247
498535at33208	Complete	OX336371.1	35394272	35418434	-	321.3	208
500261at33208	Complete	OX336372.1	56027978	56054837	-	366.0	298
500808at33208	Complete	OX336374.1	1931800	1964877	+	383.8	310
501396at33208	Complete	OX336380.1	29318157	29327219	+	208.5	124
501546at33208	Complete	OX336381.1	37313619	37320951	-	140.7	139
501788at33208	Complete	OX336365.1	12937317	12964935	-	162.6	144
502128at33208	Complete	OX336368.1	11923779	11935993	+	404.5	280
502407at33208	Complete	OX336374.1	50557771	50589333	+	220.8	200
502429at33208	Complete	OX336365.1	48671057	48676964	+	267.8	197
502584at33208	Missing
502691at33208	Complete	OX336373.1	60470277	60492681	-	331.6	205
503333at33208	Complete	OX336376.1	50693925	50723752	+	432.6	240
503828at33208	Complete	OX336379.1	3414126	3425873	+	123.8	118
504207at33208	Complete	OX336367.1	39424716	39457327	-	445.8	308
504292at33208	Complete	OX336368.1	64484359	64492943	-	236.0	189
504691at33208	Complete	OX336365.1	14944042	14944524	+	142.9	130
504731at33208	Complete	OX336365.1	26084067	26109754	+	399.0	237
504912at33208	Fragmented	OX336376.1	32519989	32522675	+	53.1	83
505248at33208	Complete	OX336367.1	10272243	10284612	-	258.9	169
505718at33208	Complete	OX336370.1	54238351	54245254	+	33.3	90
508188at33208	Complete	OX336375.1	29673953	29693093	+	238.2	233
508379at33208	Complete	OX336376.1	22869303	22881069	+	140.1	129
508986at33208	Complete	OX336368.1	44601911	44607407	-	138.8	172
509494at33208	Complete	OX336371.1	37737484	37746091	-	228.7	138
509816at33208	Complete	OX336372.1	57378807	57481461	-	260.7	157
510174at33208	Complete	OX336367.1	72936147	73016726	-	306.6	245
510522at33208	Complete	OX336367.1	23554231	23564036	+	209.8	196
510581at33208	Complete	OX336383.1	10264177	10283272	-	318.1	231
511272at33208	Complete	OX336377.1	6077119	6077988	-	211.1	216
511386at33208	Complete	OX336382.1	34045034	34074222	+	418.0	440
511575at33208	Complete	OX336380.1	3691934	3703696	+	236.1	134
511668at33208	Complete	OX336366.1	17899768	17916823	+	194.6	168
514121at33208	Complete	OX336372.1	35155724	35165988	+	209.7	155
514296at33208	Complete	OX336369.1	43413049	43418706	-	233.2	135
514565at33208	Complete	OX336377.1	46241683	46258825	-	350.9	190
514675at33208	Complete	OX336378.1	7109534	7116464	-	222.9	196
514698at33208	Complete	OX336381.1	12144170	12163311	-	201.7	155
514724at33208	Complete	OX336365.1	12487228	12503618	+	186.1	138
514727at33208	Missing
514740at33208	Complete	OX336378.1	41271808	41288515	-	270.0	176
514834at33208	Complete	OX336373.1	15964103	15975802	-	125.5	191
514892at33208	Complete	OX336374.1	17669055	17708393	-	319.6	204
515058at33208	Complete	OX336374.1	44539798	44575758	-	556.6	363
515377at33208	Complete	OX336372.1	46559547	46688435	+	118.0	127
515410at33208	Complete	OX336376.1	12052318	12058853	-	207.0	151
515425at33208	Complete	OX336377.1	1300929	1354758	+	100.6	146
515528at33208	Complete	OX336368.1	39647190	39682002	+	263.0	267
515640at33208	Complete	OX336373.1	40485272	40500759	-	334.2	194
516078at33208	Complete	OX336367.1	67320797	67339000	-	310.3	236
516321at33208	Complete	OX336366.1	34349987	34359429	+	238.0	134
516481at33208	Complete	OX336365.1	80532216	80532881	-	107.3	146
516659at33208	Complete	OX336370.1	39651201	39666111	-	158.2	172
516716at33208	Complete	OX336372.1	28308115	28327281	-	347.8	351
517311at33208	Complete	OX336365.1	42076944	42090776	-	230.1	152
517525at33208	Complete	OX336367.1	9315049	9355139	-	441.6	289
517686at33208	Complete	OX336372.1	20044105	20056724	-	132.4	92
517968at33208	Complete	OX336382.1	26529658	26539422	+	87.2	93
518288at33208	Complete	OX336377.1	23041186	23078522	+	428.4	293
518569at33208	Complete	OX336374.1	16038063	16065423	+	369.2	301
518635at33208	Complete	OX336371.1	14140372	14155534	-	405.6	367
519030at33208	Complete	OX336372.1	44972967	44978156	-	222.8	173
519303at33208	Complete	OX336365.1	71597379	71624838	+	411.7	326
519777at33208	Complete	OX336367.1	32509567	32525195	+	258.2	196
520011at33208	Missing
521343at33208	Complete	OX336371.1	18161168	18164339	+	154.3	146
522886at33208	Complete	OX336366.1	41807139	41812257	-	295.0	238
522988at33208	Complete	OX336370.1	54006827	54022362	+	278.8	298
523206at33208	Complete	OX336369.1	52252238	52298945	+	127.7	117
523376at33208	Complete	OX336377.1	47783439	47802013	+	254.7	219
523534at33208	Complete	OX336365.1	76057323	76100797	-	264.6	148
524148at33208	Complete	OX336373.1	11843988	11886125	+	397.2	333
524165at33208	Complete	OX336374.1	38647694	38661706	-	244.4	255
524322at33208	Complete	OX336373.1	26038453	26045383	+	134.6	108
525542at33208	Complete	OX336366.1	8797597	8828913	+	185.6	181
525888at33208	Complete	OX336379.1	19846250	19856823	-	233.1	157
526074at33208	Complete	OX336374.1	41308453	41309016	-	250.9	169
526487at33208	Complete	OX336366.1	53768474	53783879	+	301.7	144
526673at33208	Complete	OX336374.1	20665150	20686944	+	399.4	265
526839at33208	Missing
527406at33208	Complete	OX336372.1	13255280	13273286	-	327.2	190
528325at33208	Complete	OX336376.1	18976924	18985111	-	291.2	158
529092at33208	Complete	OX336368.1	60516449	60519759	-	188.0	88
529093at33208	Complete	OX336366.1	65657884	65665611	-	300.5	218
529708at33208	Complete	OX336366.1	17755053	17765620	+	237.2	215
529852at33208	Complete	OX336379.1	22878966	22887696	-	187.8	144
530431at33208	Complete	OX336367.1	34658937	34681206	-	467.8	362
532406at33208	Complete	OX336382.1	5100351	5108558	+	264.7	182
532693at33208	Complete	OX336366.1	53880556	53885325	+	235.5	230
532728at33208	Complete	OX336367.1	17543915	17552790	+	134.4	124
532930at33208	Complete	OX336382.1	15276718	15284731	+	243.5	184
533666at33208	Fragmented	OX336376.1	25662519	25680891	+	123.0	122
533690at33208	Complete	OX336367.1	43293283	43314219	-	247.9	170
534172at33208	Complete	OX336366.1	34326210	34340768	-	285.7	211
534206at33208	Complete	OX336374.1	24371962	24462840	+	108.5	96
534312at33208	Complete	OX336372.1	60318751	60325975	-	213.2	133
534757at33208	Complete	OX336375.1	34358140	34367243	+	196.0	196
534808at33208	Complete	OX336373.1	6719070	6728058	-	295.1	233
535268at33208	Complete	OX336374.1	28874752	28886499	-	261.5	171
535367at33208	Complete	OX336377.1	6022499	6023371	-	206.6	167
535524at33208	Complete	OX336378.1	31879147	31894286	-	248.6	160
535650at33208	Complete	OX336375.1	29850217	29871703	+	268.8	165
535664at33208	Complete	OX336372.1	51172497	51178477	+	129.1	117
535782at33208	Complete	OX336370.1	40821016	40821702	-	196.6	158
535806at33208	Complete	OX336366.1	52779551	52789072	+	164.2	126
536251at33208	Complete	OX336370.1	16664146	16669787	-	152.9	128
537470at33208	Complete	OX336367.1	27884886	27893784	+	255.2	152
537548at33208	Complete	OX336365.1	59328518	59336625	-	289.3	179
537718at33208	Complete	OX336367.1	59679185	59693683	-	193.6	171
537923at33208	Complete	OX336366.1	46537858	46572096	+	244.0	155
538442at33208	Complete	OX336366.1	52752669	52759568	-	156.1	140
539043at33208	Complete	OX336370.1	55604144	55610244	+	232.3	144
539215at33208	Complete	OX336368.1	41243283	41252418	+	200.5	150
539234at33208	Complete	OX336372.1	499175	503014	-	217.6	129
539360at33208	Complete	OX336373.1	12665690	12667333	-	175.0	163
539600at33208	Complete	OX336374.1	58458550	58466577	-	175.4	157
540193at33208	Complete	OX336372.1	27828017	27850197	-	190.9	385
541231at33208	Fragmented	OX336373.1	48519036	48528297	-	112.3	99
541260at33208	Complete	OX336370.1	47136020	47141230	+	108.4	82
541421at33208	Complete	OX336369.1	46153486	46154774	-	278.7	199
543124at33208	Complete	OX336373.1	58560052	58576462	+	328.9	273
543269at33208	Complete	OX336368.1	28233885	28243611	+	119.7	135
544546at33208	Complete	OX336366.1	62632313	62635703	-	112.5	125
544849at33208	Complete	OX336366.1	18652812	18657755	+	198.6	134
544919at33208	Fragmented	OX336366.1	75020657	75024934	-	166.4	137
545063at33208	Complete	OX336376.1	35256861	35278786	+	182.7	237
545389at33208	Complete	OX336378.1	26354185	26397409	-	261.4	164
545641at33208	Complete	OX336378.1	12356051	12366946	+	214.3	121
545744at33208	Missing
545889at33208	Complete	OX336374.1	18723578	18731861	+	153.0	128
546305at33208	Complete	OX336376.1	5811849	5821190	-	67.7	101
546751at33208	Complete	OX336367.1	68400738	68406791	-	241.4	175
547099at33208	Complete	OX336371.1	4836146	4850286	+	236.1	153
547341at33208	Complete	OX336368.1	19117863	19122594	+	190.2	161
547766at33208	Complete	OX336367.1	14384445	14393294	-	149.9	129
548327at33208	Complete	OX336365.1	14544915	14551802	-	179.6	135
548444at33208	Complete	OX336372.1	16521756	16540704	+	279.1	226
548732at33208	Complete	OX336368.1	16837521	16845119	-	177.8	133
549156at33208	Complete	OX336380.1	48025505	48037174	+	220.3	136
549988at33208	Fragmented	OX336380.1	5095343	5100254	-	65.4	60
551166at33208	Complete	OX336375.1	45385458	45385883	+	157.6	100
551620at33208	Fragmented	OX336374.1	40263526	40263783	+	90.9	70
551632at33208	Complete	OX336372.1	10688838	10706759	+	263.6	177
551831at33208	Complete	OX336373.1	15124591	15152916	+	278.0	204
552201at33208	Complete	OX336378.1	41148847	41173138	+	286.4	176
552359at33208	Complete	OX336379.1	34287862	34314269	-	151.1	114
552764at33208	Complete	OX336367.1	74318368	74351135	-	328.6	172
552949at33208	Complete	OX336366.1	54372133	54391254	+	104.9	241
553411at33208	Complete	OX336377.1	6272296	6289138	-	205.9	152
553585at33208	Complete	OX336367.1	51595010	51624938	-	291.5	206
554010at33208	Complete	OX336377.1	17642774	17664247	+	254.0	186
554815at33208	Complete	OX336369.1	49048706	49068290	-	283.5	189
555162at33208	Complete	OX336373.1	53357272	53366941	-	245.6	148
555390at33208	Complete	OX336375.1	48813718	48822317	-	202.6	129
555538at33208	Complete	OX336370.1	66764082	66770566	+	122.2	120
556039at33208	Complete	OX336365.1	70004764	70011807	+	90.7	118
556189at33208	Complete	OX336367.1	13450949	13454782	+	150.7	163
556337at33208	Complete	OX336375.1	7528591	7531807	+	182.6	109
556445at33208	Complete	OX336365.1	25267111	25267884	-	130.5	115
556461at33208	Missing
556510at33208	Complete	OX336366.1	1172573	1203388	+	170.2	130
556587at33208	Complete	OX336377.1	24219643	24224366	+	84.5	91
556750at33208	Missing
556925at33208	Complete	OX336371.1	63024083	63035046	+	54.5	68
557292at33208	Complete	OX336380.1	43705025	43712732	-	258.5	181
557596at33208	Complete	OX336368.1	68138372	68148437	+	276.7	179
557694at33208	Complete	OX336373.1	62167190	62187149	+	164.7	196
557834at33208	Complete	OX336376.1	34303453	34317045	+	316.9	224
557962at33208	Complete	OX336370.1	337587	360187	+	338.3	210
558368at33208	Complete	OX336375.1	42705748	42712839	-	247.2	179
558385at33208	Complete	OX336366.1	42230110	42258905	-	203.8	193
558552at33208	Complete	OX336365.1	31802387	31823030	+	234.2	124
558791at33208	Complete	OX336371.1	53298486	53364530	+	225.2	123
558897at33208	Complete	OX336372.1	601223	607054	+	190.7	147
558933at33208	Complete	OX336368.1	53578952	53585978	+	239.3	170
559146at33208	Complete	OX336366.1	38394803	38409163	+	84.6	88
559501at33208	Complete	OX336376.1	45562649	45579290	-	291.8	214
559576at33208	Complete	OX336377.1	55379475	55496893	+	261.2	289
559732at33208	Complete	OX336367.1	445079	458392	+	26.2	54
559883at33208	Complete	OX336373.1	19187786	19200513	-	232.1	159
560453at33208	Complete	OX336370.1	25735815	25744545	+	239.4	146
560566at33208	Complete	OX336380.1	25388085	25401151	+	97.7	98
560584at33208	Complete	OX336382.1	18842482	18856520	-	115.7	118
560694at33208	Complete	OX336375.1	38593470	38610809	+	268.4	206
561054at33208	Complete	OX336379.1	14454529	14467850	-	189.4	138
561248at33208	Complete	OX336375.1	48446071	48457584	-	159.1	208
561417at33208	Complete	OX336372.1	41106385	41138182	-	185.7	124
561688at33208	Complete	OX336376.1	30894220	30900039	+	229.1	165
561878at33208	Complete	OX336376.1	38132638	38149402	+	249.2	218
561943at33208	Complete	OX336365.1	15560000	15566950	-	374.3	244
562780at33208	Complete	OX336366.1	15049813	15062177	+	244.6	163
563084at33208	Complete	OX336382.1	10518569	10519719	-	82.2	78
563358at33208	Complete	OX336370.1	56772049	56776900	+	152.4	154
563359at33208	Complete	OX336368.1	26209171	26227078	+	146.6	166
563426at33208	Complete	OX336371.1	34152230	34178415	-	249.9	232
563679at33208	Complete	OX336366.1	68529512	68533025	+	111.3	95
563832at33208	Complete	OX336367.1	34117138	34117611	+	127.3	130
564234at33208	Complete	OX336365.1	65466622	65496873	+	206.4	154
564286at33208	Complete	OX336379.1	23452538	23454565	-	210.8	110
565053at33208	Complete	OX336381.1	8241660	8256634	+	162.9	139
566026at33208	Complete	OX336367.1	57338439	57344464	+	181.6	149
566116at33208	Complete	OX336376.1	51159483	51179541	+	323.3	213
566262at33208	Complete	OX336372.1	42089154	42097239	+	135.8	101
566447at33208	Complete	OX336371.1	8111409	8118579	-	136.0	140
566527at33208	Complete	OX336373.1	13134759	13139310	+	269.8	187
566916at33208	Complete	OX336368.1	15626213	15631638	-	67.0	107
567650at33208	Complete	OX336366.1	47812353	47824517	-	181.4	202
567750at33208	Complete	OX336373.1	59782272	59786275	+	142.4	93
567809at33208	Complete	OX336375.1	42645839	42668525	-	192.1	116
568022at33208	Complete	OX336369.1	69521137	69529901	-	198.7	140
568170at33208	Complete	OX336375.1	56522933	56529318	+	162.6	162
568839at33208	Complete	OX336369.1	47672464	47693443	+	189.5	186
568949at33208	Complete	OX336374.1	12861747	12878357	+	228.4	154
569294at33208	Complete	OX336375.1	58137327	58146472	+	189.9	146
569303at33208	Complete	OX336374.1	21969156	21989884	-	247.5	221
569812at33208	Complete	OX336374.1	58490720	58503822	+	255.1	180
569878at33208	Complete	OX336367.1	57316482	57328967	-	234.2	169
570262at33208	Complete	OX336383.1	2833024	2847302	+	257.9	174
570646at33208	Complete	OX336376.1	32053259	32059586	-	155.7	130
570717at33208	Complete	OX336367.1	16285439	16302767	-	260.2	168
571149at33208	Missing
571944at33208	Complete	OX336377.1	24522105	24540810	-	191.2	207
572074at33208	Complete	OX336376.1	23912129	23940359	-	190.4	239
572434at33208	Complete	OX336368.1	10610866	10620470	+	246.9	155
572463at33208	Complete	OX336376.1	33313486	33362377	+	256.5	217
572754at33208	Complete	OX336370.1	30904242	30904694	-	170.5	123
572845at33208	Complete	OX336367.1	28687356	28700046	-	233.8	158
573203at33208	Complete	OX336373.1	42902326	42944469	+	232.5	214
573237at33208	Complete	OX336366.1	57219910	57242561	+	287.1	233
573313at33208	Complete	OX336372.1	44721884	44730125	-	272.1	251
574311at33208	Complete	OX336365.1	19552241	19559693	+	56.2	72
575360at33208	Complete	OX336374.1	28897156	28902304	+	158.4	113
576633at33208	Complete	OX336368.1	72058897	72066273	-	283.3	168
576938at33208	Fragmented	OX336368.1	20610667	20613228	-	82.3	63
576997at33208	Complete	OX336370.1	48703467	48710062	+	188.9	144
577068at33208	Complete	OX336365.1	19154026	19163443	-	193.1	156
577339at33208	Complete	OX336380.1	39437281	39441068	-	102.7	111
577929at33208	Fragmented	OX336368.1	11948110	11948376	-	73.5	71
578354at33208	Complete	OX336375.1	13047283	13056837	-	193.0	127
578582at33208	Complete	OX336378.1	50027696	50038001	+	192.1	115
578684at33208	Complete	OX336373.1	57083237	57102705	-	187.8	174
578726at33208	Complete	OX336370.1	16491292	16509029	+	213.3	165
578734at33208	Complete	OX336366.1	61765344	61774887	+	185.0	181
578959at33208	Complete	OX336373.1	59157893	59170433	+	147.1	91
579029at33208	Complete	OX336374.1	39014516	39039711	+	123.8	121
580062at33208	Complete	OX336374.1	30654934	30712229	-	157.6	158
580288at33208	Complete	OX336365.1	64453775	64459920	-	219.7	116
580851at33208	Complete	OX336373.1	49750387	49767690	-	71.1	79
580896at33208	Complete	OX336376.1	18131160	18150983	-	253.3	231
581006at33208	Complete	OX336370.1	61106068	61161226	+	137.5	131
581475at33208	Complete	OX336371.1	15099108	15106274	-	153.0	135
581543at33208	Complete	OX336370.1	67205704	67216717	-	122.2	148
581547at33208	Complete	OX336376.1	29766113	29775843	-	232.6	145
581621at33208	Complete	OX336368.1	64528020	64538308	-	284.2	160
581717at33208	Complete	OX336377.1	39610106	39613719	+	245.3	235
581779at33208	Missing
582265at33208	Complete	OX336368.1	16592780	16604311	-	174.3	163
582341at33208	Complete	OX336372.1	56859799	56876129	-	208.9	116
582473at33208	Complete	OX336369.1	58898665	58907699	+	251.4	158
582823at33208	Complete	OX336368.1	22831798	22835365	+	255.3	196
582951at33208	Complete	OX336374.1	38356023	38362411	-	142.1	104
583626at33208	Complete	OX336377.1	39660565	39670691	+	127.9	134
584023at33208	Complete	OX336383.1	3319758	3340847	-	229.3	203
584333at33208	Complete	OX336368.1	25671662	25684252	-	107.8	115
584373at33208	Complete	OX336369.1	71014223	71016839	+	62.5	61
585078at33208	Complete	OX336366.1	34787777	34793628	+	84.2	74
585232at33208	Complete	OX336376.1	10773926	10790844	-	150.4	108
585305at33208	Complete	OX336365.1	85240763	85254111	-	142.2	85
585313at33208	Complete	OX336377.1	16022729	16035028	-	305.3	186
585656at33208	Complete	OX336378.1	30243656	30252956	+	227.7	146
585726at33208	Complete	OX336377.1	19118745	19128106	+	189.1	167
585809at33208	Complete	OX336365.1	8389955	8418907	+	187.5	206
586156at33208	Complete	OX336372.1	45794658	45805037	+	113.8	104
586310at33208	Complete	OX336372.1	24791748	24805078	+	135.8	118
586690at33208	Complete	OX336380.1	34432552	34460198	-	170.3	114
586719at33208	Complete	OX336370.1	15136990	15144937	+	211.4	126
587399at33208	Complete	OX336368.1	58071507	58098242	-	106.5	135
587407at33208	Complete	OX336373.1	16683548	16689475	-	175.9	164
587513at33208	Complete	OX336366.1	36913157	36955721	+	275.6	274
587688at33208	Complete	OX336376.1	23759041	23770642	-	92.5	88
587958at33208	Complete	OX336382.1	34140544	34146584	+	185.1	83
589773at33208	Complete	OX336365.1	6048891	6053884	+	57.4	49
589901at33208	Fragmented	OX336378.1	24752212	24769384	-	185.0	184
590221at33208	Complete	OX336367.1	3122910	3123320	-	113.8	96
590347at33208	Complete	OX336379.1	1114775	1217370	+	133.8	139
590416at33208	Complete	OX336374.1	3128426	3139345	-	257.2	180
590470at33208	Complete	OX336365.1	66014235	66035745	-	191.9	206
591316at33208	Complete	OX336380.1	5680873	5681442	-	154.9	115
591391at33208	Complete	OX336365.1	9286386	9314266	+	147.2	115
591498at33208	Complete	OX336369.1	28499670	28579862	-	166.1	164
592087at33208	Complete	OX336365.1	67093326	67109862	-	222.9	160
592094at33208	Complete	OX336366.1	73282167	73314555	-	247.6	165
592759at33208	Complete	OX336379.1	23818075	23828748	-	242.8	172
592872at33208	Complete	OX336374.1	25343800	25344306	+	171.9	142
594172at33208	Complete	OX336365.1	1725072	1734227	+	232.0	119
594271at33208	Complete	OX336371.1	22763867	22770933	-	86.1	101
594842at33208	Complete	OX336373.1	58779211	58780778	+	162.1	93
594937at33208	Complete	OX336366.1	1415004	1419504	-	47.2	98
595010at33208	Complete	OX336366.1	63837762	63838739	+	287.0	269
595316at33208	Complete	OX336382.1	9960856	9969567	+	164.3	121
595404at33208	Complete	OX336380.1	41881781	41889854	-	186.3	122
595858at33208	Complete	OX336369.1	57190362	57220600	-	425.8	352
596131at33208	Missing
596973at33208	Complete	OX336376.1	11229241	11235562	-	173.1	131
597023at33208	Missing
597816at33208	Complete	OX336376.1	28058615	28154649	+	149.4	146
598405at33208	Complete	OX336365.1	47537228	47546304	-	124.4	88
598944at33208	Complete	OX336366.1	69908237	69926966	-	148.6	186
599320at33208	Complete	OX336379.1	7113206	7116651	-	143.2	88
600462at33208	Complete	OX336365.1	69006962	69010001	+	157.5	177
600823at33208	Complete	OX336370.1	69900136	69915544	+	179.8	148
601242at33208	Complete	OX336380.1	1161793	1167456	-	179.3	124
601650at33208	Complete	OX336365.1	53398055	53415145	+	127.0	116
601768at33208	Complete	OX336373.1	24330969	24334442	-	137.9	189
601875at33208	Missing
601886at33208	Complete	OX336372.1	12763270	12779223	-	225.7	193
601967at33208	Complete	OX336365.1	54800147	54817034	-	139.1	107
602089at33208	Complete	OX336373.1	57735548	57740626	-	166.9	99
602148at33208	Complete	OX336373.1	39114986	39118296	+	106.4	76
602587at33208	Complete	OX336369.1	49084370	49090067	+	108.5	69
603239at33208	Complete	OX336377.1	36390156	36393985	+	129.3	153
